sa2_code,year,population,reference_date,revision_status,source_id,source_locator
206071140,2020,8899,2020-06-30,final,abs-erp-2024-25,Table 1!AD806
206071140,2021,8290,2021-06-30,final,abs-erp-2024-25,Table 1!AE806
206071140,2022,8114,2022-06-30,revised,abs-erp-2024-25,Table 1!AF806
206071140,2023,8486,2023-06-30,revised,abs-erp-2024-25,Table 1!AG806
206071140,2024,8678,2024-06-30,revised,abs-erp-2024-25,Table 1!AH806
206071140,2025,8828,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI806
206071141,2020,9969,2020-06-30,final,abs-erp-2024-25,Table 1!AD807
206071141,2021,9351,2021-06-30,final,abs-erp-2024-25,Table 1!AE807
206071141,2022,9589,2022-06-30,revised,abs-erp-2024-25,Table 1!AF807
206071141,2023,10398,2023-06-30,revised,abs-erp-2024-25,Table 1!AG807
206071141,2024,11034,2024-06-30,revised,abs-erp-2024-25,Table 1!AH807
206071141,2025,11383,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI807
206071142,2020,11299,2020-06-30,final,abs-erp-2024-25,Table 1!AD808
206071142,2021,10608,2021-06-30,final,abs-erp-2024-25,Table 1!AE808
206071142,2022,10739,2022-06-30,revised,abs-erp-2024-25,Table 1!AF808
206071142,2023,11407,2023-06-30,revised,abs-erp-2024-25,Table 1!AG808
206071142,2024,11884,2024-06-30,revised,abs-erp-2024-25,Table 1!AH808
206071142,2025,12135,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI808
206071143,2020,13659,2020-06-30,final,abs-erp-2024-25,Table 1!AD809
206071143,2021,12945,2021-06-30,final,abs-erp-2024-25,Table 1!AE809
206071143,2022,12905,2022-06-30,revised,abs-erp-2024-25,Table 1!AF809
206071143,2023,13308,2023-06-30,revised,abs-erp-2024-25,Table 1!AG809
206071143,2024,13618,2024-06-30,revised,abs-erp-2024-25,Table 1!AH809
206071143,2025,13749,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI809
206071145,2020,10163,2020-06-30,final,abs-erp-2024-25,Table 1!AD810
206071145,2021,9978,2021-06-30,final,abs-erp-2024-25,Table 1!AE810
206071145,2022,10233,2022-06-30,revised,abs-erp-2024-25,Table 1!AF810
206071145,2023,10924,2023-06-30,revised,abs-erp-2024-25,Table 1!AG810
206071145,2024,11220,2024-06-30,revised,abs-erp-2024-25,Table 1!AH810
206071145,2025,11419,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI810
206071517,2020,18929,2020-06-30,final,abs-erp-2024-25,Table 1!AD811
206071517,2021,17977,2021-06-30,final,abs-erp-2024-25,Table 1!AE811
206071517,2022,17762,2022-06-30,revised,abs-erp-2024-25,Table 1!AF811
206071517,2023,18591,2023-06-30,revised,abs-erp-2024-25,Table 1!AG811
206071517,2024,19092,2024-06-30,revised,abs-erp-2024-25,Table 1!AH811
206071517,2025,19225,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI811
206071518,2020,15025,2020-06-30,final,abs-erp-2024-25,Table 1!AD812
206071518,2021,14074,2021-06-30,final,abs-erp-2024-25,Table 1!AE812
206071518,2022,13987,2022-06-30,revised,abs-erp-2024-25,Table 1!AF812
206071518,2023,14798,2023-06-30,revised,abs-erp-2024-25,Table 1!AG812
206071518,2024,15194,2024-06-30,revised,abs-erp-2024-25,Table 1!AH812
206071518,2025,15303,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI812
207011146,2020,8309,2020-06-30,final,abs-erp-2024-25,Table 1!AD813
207011146,2021,8021,2021-06-30,final,abs-erp-2024-25,Table 1!AE813
207011146,2022,7930,2022-06-30,revised,abs-erp-2024-25,Table 1!AF813
207011146,2023,8137,2023-06-30,revised,abs-erp-2024-25,Table 1!AG813
207011146,2024,8365,2024-06-30,revised,abs-erp-2024-25,Table 1!AH813
207011146,2025,8471,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI813
207011147,2020,17031,2020-06-30,final,abs-erp-2024-25,Table 1!AD814
