sa2_code,name,boundary_year,gccsa_code,official_area_sq_km,calculated_area_m2,area_crs,is_comparable,eligibility_note,source_id
209021524,Reservoir - North West,2021,2GMEL,4.5297,4530057.533737241,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209021525,Reservoir - South East,2021,2GMEL,4.1783,4178369.9955098075,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209021526,Reservoir - South West,2021,2GMEL,5.6247,5624967.459710054,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209031209,Eltham,2021,2GMEL,19.4882,19484551.716349524,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209031210,Hurstbridge,2021,2GMEL,14.8421,14839304.97664026,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209031211,Kinglake,2021,2GMEL,319.504,319404469.4536734,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209031212,Panton Hill - St Andrews,2021,2GMEL,292.1978,292133467.9032173,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209031213,Plenty - Yarrambat,2021,2GMEL,29.117,29113397.13670872,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209031214,Research - North Warrandyte,2021,2GMEL,49.7946,49785384.17511963,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
209031215,Wattle Glen - Diamond Creek,2021,2GMEL,26.8245,26820395.01049793,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
