sa2_code,ptal_candidate_count,ptal_intersecting_count,ptal_valid_count,ptal_valid_covered_area_m2,ptal_coverage_fraction,park_candidate_count,park_included_feature_count,park_union_area_m2,park_overlap_removed_m2,selected_space_excluding_explicit_water_body_yes_m2_per_person,open_space_inventory_coverage_fraction
208021179,199,145,145,2861624.7022175514,1.0,90,9,38654.52472455892,0.0,3.013528083305443,
208021180,142,104,104,2009487.0673644026,0.999999999999997,41,4,35131.3959447508,0.0,4.320142147657502,
208021181,189,128,128,2514550.3639717414,0.9999999999999953,44,24,215371.56579254527,0.0,21.269165099007036,
208021182,293,154,154,2936719.397672939,1.0,35,6,98346.9236459872,1.4551915228366852e-11,6.488548106220704,
208021426,271,220,220,4598658.150537193,1.0,36,14,151330.6388063685,2.9103830456733704e-11,8.466997079749817,
208021427,274,216,216,4587620.401393352,0.9999999999999872,71,22,188288.3254017589,0.002592324366560206,12.595379316459889,
208031183,432,256,256,5306508.05035247,1.0,206,120,1936136.5409165332,0.0,129.7605318117267,
208031184,738,421,421,9080767.600980613,0.9999999999999795,189,14,3328669.3981455527,0.0,106036.71974911825,
208031185,523,285,285,5823703.653749502,0.9999325484576653,204,105,1240547.1046163465,0.000850082840770483,78.65235679038626,
208031186,383,261,261,5422336.999055196,1.0,114,58,907922.6612721244,0.0,50.731594318820534,
208031187,290,164,164,3195023.3629505043,0.9999999999999882,105,30,836042.0526806759,0.0,153.543076709028,
208031188,713,409,409,8736083.505630942,1.0,144,55,673595.6845996825,0.0,25.59254120819462,
208031189,441,252,252,5098966.3435114855,0.99983716254873,197,67,704970.8646156392,1.0977964848279953e-07,47.87119059066666,
208031190,376,228,228,4449167.635435485,0.9999999999999531,110,30,276175.70857038366,1.7462298274040222e-10,19.51082363619807,
208031191,1242,547,547,11698837.53113963,0.9999999999999937,256,43,742692.093759166,0.0,32.1303187982,
208031192,203,151,151,3075216.6695364476,1.0,20,0,0.0,0.0,0.0,
208031193,442,369,369,7967035.876987421,0.9999999999999712,162,79,697854.2124750073,0.0,30.66054727026673,
208041194,548,300,300,6154948.3060927335,0.9999999999999968,171,75,449608.4608852494,0.02772982930764556,20.605337345794517,
208041195,649,360,360,7567251.841826152,0.9999999999999896,206,97,537502.2335632921,0.3010516945505515,22.399659675083957,
209011196,313,201,201,4074714.77999235,0.9999999999999253,123,45,347341.4697706172,1.1641532182693481e-10,33.595267411801636,
209011197,890,474,474,10095887.07484286,0.9999999999999744,459,198,1252178.5346553966,4.190951585769653e-09,58.55132024012915,
209011198,418,303,303,6371455.012317092,1.0,165,119,928026.6631232474,0.45438886585179716,53.582714409122985,
209011199,388,314,314,6690936.11244179,0.9999999999999908,71,31,757677.9017180032,47.0697867507115,43.983426436651165,
209011200,459,258,258,5049959.365837139,0.9999999999999716,139,55,697081.2325306413,496.9013131830143,50.19597590062584,
209011201,352,217,217,4277315.740114982,1.0,74,19,958096.6884258594,45.95038557599764,111.36703912742985,
209011202,910,564,564,12026295.755745485,1.0,302,96,1482781.7166974603,257.16406225506216,87.00749423174899,
209011203,837,482,482,10237530.0934663,0.9999999999999843,296,101,2116899.918040504,0.001044341828674078,110.72326534027819,
209011204,306,192,192,3785228.262172208,1.0,99,38,358855.251349605,0.0,37.75833873627999,
209021205,686,419,419,9008470.695915515,1.0,260,121,1744486.3109516718,0.010809765662997961,134.89686908070414,
209021428,475,359,359,7744420.942003273,1.0,160,32,352224.7571985144,1105.4821344465017,15.03397716653738,
209021429,225,172,172,3567539.4887793525,1.0,160,42,167793.00319925105,3.291516441560816,12.185789214661778,
209021523,338,229,229,4787793.841962054,0.9999999999999852,142,87,565951.1565762429,0.11475527659058571,34.659266126293254,
209021524,313,218,218,4530057.533737377,1.0,140,51,452183.36490053573,0.029936037957668304,46.00370992270085,
209021525,268,201,201,4178369.9955097064,0.9999999999999758,59,20,393125.1821291015,9.094888810068369e-05,27.79644927731734,
209021526,323,268,268,5624967.459709991,0.9999999999999888,153,60,535917.5615188838,4.944920022506267,34.328934496919544,
209031209,1510,879,879,19484551.716349766,1.0,574,312,3120946.207624085,11.259284048806876,131.85796643851077,
209031210,1079,703,703,14839304.976640113,0.9999999999999901,67,42,645348.0292490381,0.03223310282919556,183.2854385825159,
209031211,7998,458,458,6087577.051011872,0.019059147986953316,86,3,957.6558257201334,0.0,0.21671324410955708,
209031212,19523,12082,12082,292133467.9032168,0.9999999999999981,1258,159,6272062.017438048,12.48102404922247,1222.6241749984674,
209031213,2833,1334,1334,29113397.136708684,0.9999999999999987,877,132,4746237.203067979,0.5220809187740088,487.63272664278804,
209031214,3633,2176,2176,49785384.17512003,1.0,390,88,2563306.4418070475,8.141305338125676,364.1577556318141,
209031215,2183,1202,1202,26820395.01049792,0.9999999999999996,408,145,946435.8170936721,0.05619867017958313,63.69444895980035,
209041216,335,241,241,4714039.568822005,1.0,119,44,1534995.6896316623,0.0,190.27285464778942,
209041217,236,133,133,2560522.9904989614,1.0,111,75,355014.84663735284,8.207280188798904e-09,52.16204035224229,
209041220,599,383,383,8135139.547952233,0.9999999999999547,254,81,1414533.876398023,0.0035527783911675215,79.84819747150915,
209041221,403,252,252,4929577.491259944,1.0,148,55,888702.7203778324,0.44341661036014557,76.26405400555706,
209041223,946,666,666,14683708.886230217,1.0,258,86,1296355.994302065,0.05412648734636605,62.189888546500256,
209041224,11760,3677,3677,87296585.67600748,0.17194353023729927,276,80,658613.4031281203,0.0,21.706327965464386,
209041225,16557,12211,12211,297947685.09198457,0.9999981954265711,357,107,19488667.132648155,0.0008264854550361633,1072.3377975485946,
209041431,445,353,353,7768401.630898642,0.9999999999999867,163,67,1157271.5478658748,0.0,85.37599025200066,
209041432,2123,736,736,15870886.22435389,1.0,483,78,481269.7360048425,1.2590899132192135e-06,57.83101850574838,
209041433,426,335,335,7357188.948937611,1.0,158,91,730654.9806104224,3.4924596548080444e-10,56.661882947686905,
209041435,991,625,625,13708120.340915715,0.9999999999999831,340,132,5460044.648089437,0.3458490427583456,409.9308531976217,
209041436,726,374,374,7743972.713112709,1.0,394,108,1782456.9811269485,2.3342533982358873,134.4480386996205,
209041437,3051,2275,2275,53890011.713032156,0.9999999999999981,81,42,624583.4769779267,0.00019731069914996624,17.038122019148098,
209041527,587,431,431,9438120.30605366,1.0,216,118,1062181.0201574543,2.3283064365386963e-10,61.458139221052726,
209041528,316,236,236,5021685.57923707,0.9999999999999553,119,57,1289488.0188444282,7.501154944533482,107.33269003589751,
209041529,216,164,164,3322976.0288028787,1.0,68,29,242729.87009931437,0.6119987157580908,23.152362163473466,
209041530,547,406,406,8736656.339012658,0.9999999999999958,97,48,624226.7431764978,0.0509805278852582,44.01387071245651,
